frame_id,point_id,x,y,z,doppler,snr,noise
46,5,-0.7248,2.6473,-1.9674,0,184,822,1904
46,6,2.8649,6.6488,-2.8649,0,173,877,1904
47,1,1.4497,0.8595,0.1035,0,191,716,1938
47,2,-0.7594,2.847,-0.9492,0,272,726,1938
47,3,-0.7248,2.6473,-1.9674,0,191,814,1938
47,4,2.6261,6.8431,-2.6261,0,169,881,1938
48,1,1.5532,0.6622,0,0,169,743,1971
48,2,-0.8543,2.82,-0.9492,0,268,730,1971
48,3,-0.7248,2.6473,-1.9674,0,190,817,1971
48,4,2.6261,6.8431,-2.6261,0,172,878,1971
49,1,1.5532,0.6622,0,0,199,711,2005
49,2,-0.9808,2.6848,-0.535,0,224,729,2005
49,3,-0.7594,2.847,-0.9492,0,259,739,2005
49,4,-0.7248,2.6473,-1.9674,0,176,830,2005
49,5,-0.2761,4.2769,-1.3807,0,156,852,2005
49,6,2.6261,6.8431,-2.6261,0,177,873,2005
50,1,0.1035,0.2569,-0.2531,0,258,670,2039
50,2,1.5015,0.7707,0.0518,0,206,706,2039
50,3,-1.1218,2.5752,-0.1726,0,222,732,2039
50,4,-2.5887,0.3821,-1.0355,0,222,732,2039
50,5,-0.8543,2.82,-0.9492,0,267,731,2039
50,6,-0.7248,2.6473,-1.9674,0,183,824,2039
50,7,2.6261,6.8431,-2.6261,0,174,876,2039
51,1,1.4497,0.8517,0.1553,0,191,713,2071
51,2,-2.7642,0.5423,-0.7133,0,234,728,2071
51,3,-1.1592,2.667,0,0,234,728,2071
51,4,-0.7594,2.847,-0.9492,0,260,739,2071
51,5,-0.7248,2.6473,-1.9674,0,172,834,2071
51,6,-0.2761,4.2769,-1.3807,0,167,841,2071
51,7,2.8649,6.6488,-2.8649,0,176,874,2071
52,1,1.5532,0.6622,0,0,186,725,2105
52,2,-1.07,2.6506,-0.535,0,239,723,2105
52,3,-0.8543,2.8502,-0.8543,0,268,729,2105
52,4,-0.7248,2.6473,-1.9674,0,185,820,2105
52,5,-0.2761,4.2769,-1.3807,0,161,847,2105
52,6,2.6261,6.8431,-2.6261,0,170,880,2105
53,1,0.1035,0.2569,-0.2531,0,262,667,2138
53,2,1.5532,0.6622,0,0,197,708,2138
53,3,-0.8025,2.7025,-0.7133,0,231,721,2138
53,4,-0.7594,2.847,-0.9492,0,266,729,2138
53,5,-0.7248,2.6473,-1.9674,0,183,823,2138
53,6,-0.4142,4.308,-1.2425,0,163,845,2138
53,7,2.6261,6.8431,-2.6261,0,172,878,2138
54,1,0.1035,0.2569,-0.2531,0,240,689,2171
54,2,1.5532,0.6602,0.0518,0,187,726,2171
54,3,2.675,0.8698,0.0863,0,214,743,2171
54,4,-0.7766,2.6549,-0.5177,0,214,743,2171
54,5,1.1218,2.5285,-0.5177,0,214,743,2171
54,6,-0.7594,2.847,-0.9492,0,252,744,2171
54,7,-0.7248,2.6473,-1.9674,0,166,841,2171
54,8,-0.2761,4.2769,-1.3807,0,159,850,2171
54,9,2.6261,6.8431,-2.6261,0,173,877,2171
55,1,1.5015,0.7707,0.0518,0,186,723,2204
55,2,-0.8543,2.82,-0.9492,0,270,729,2204
55,3,-0.7248,2.6473,-1.9674,0,191,814,2204
55,4,-0.2761,4.2769,-1.3807,0,167,841,2204
55,5,2.6261,6.8431,-2.6261,0,169,881,2204
56,1,1.5532,0.6622,0,0,182,723,2238
56,2,-0.8543,2.82,-0.9492,0,262,737,2238
56,3,-0.7248,2.6473,-1.9674,0,185,821,2238
56,4,-0.2761,4.2769,-1.3807,0,165,843,2238
56,5,2.6261,6.8431,-2.6261,0,165,885,2238
57,1,1.5015,0.7707,0.0518,0,197,707,2271
57,2,-1.07,2.6804,-0.3567,0,237,721,2271
57,3,-2.4075,0.6022,-1.5158,0,237,721,2271
57,4,-0.8543,2.82,-0.9492,0,267,732,2271
57,5,-0.7248,2.6473,-1.9674,0,177,830,2271
57,6,-0.2761,4.2769,-1.3807,0,163,845,2271
57,7,2.6261,6.8431,-2.6261,0,167,883,2271
58,1,1.5015,0.7707,0.0518,0,194,710,2305
58,2,-0.8543,2.82,-0.9492,0,268,730,2305
58,3,-0.6213,2.5941,-2.071,0,186,819,2305
58,4,2.6261,6.8431,-2.6261,0,169,880,2305
59,1,0.1035,0.2678,-0.2416,0,233,694,2338
59,2,1.5532,0.6622,0,0,180,734,2338
59,3,-0.9808,2.6848,-0.535,0,223,726,2338
59,4,-0.7594,2.847,-0.9492,0,259,734,2338
59,5,-0.6213,2.5941,-2.071,0,181,822,2338
59,6,-0.2761,4.2769,-1.3807,0,160,848,2338
59,7,2.6261,6.8431,-2.6261,0,169,880,2338
60,1,1.5015,0.7707,0.0518,0,197,711,2371
60,2,-0.7594,2.847,-0.9492,0,263,735,2371
60,3,-0.6213,2.5941,-2.071,0,183,822,2371
60,4,-0.2761,4.2769,-1.3807,0,152,856,2371
60,5,2.6261,6.8431,-2.6261,0,174,876,2371
61,1,0.1035,0.2678,-0.2416,0,261,667,2405
61,2,1.3979,0.9242,0.2071,0,202,709,2405
61,3,-1.0873,0.8947,0.9319,0,202,709,2405
61,4,-0.9808,2.6848,-0.535,0,217,735,2405
61,5,-0.8543,2.8502,-0.8543,0,256,743,2405
61,6,-0.7248,2.6473,-1.9674,0,177,828,2405
61,7,2.6261,6.8431,-2.6261,0,175,875,2405
62,1,0.1035,0.2569,-0.2531,0,240,690,2438
62,2,1.4497,0.8517,0.1553,0,187,727,2438
62,3,-0.8543,2.8502,-0.8543,0,266,731,2438
62,4,-0.7248,2.6473,-1.9674,0,188,818,2438
62,5,-0.2761,4.2769,-1.3807,0,167,841,2438
62,6,2.6261,6.8431,-2.6261,0,176,875,2438
62,7,2.4075,0.6842,-0.3883,-1.4742,195,553,2438
63,1,0.1035,0.2569,-0.2531,0,225,702,2471
63,2,1.5015,0.7707,0.0518,0,163,743,2471
63,3,-0.8543,2.8502,-0.8543,0,241,758,2471
63,4,-0.7248,2.6473,-1.9674,0,159,847,2471
63,5,-0.2761,4.2769,-1.3807,0,154,854,2471
63,6,2.6261,6.8431,-2.6261,0,170,880,2471
63,7,2.3184,0.7426,-0.1496,-0.4914,157,718,2471
64,1,1.5015,0.7655,0.1035,0,197,713,2504
64,2,-0.7594,2.8136,-1.0441,0,261,736,2504
64,3,-0.7248,2.6473,-1.9674,0,180,827,2504
64,4,-0.2761,4.2769,-1.3807,0,150,857,2504
64,5,2.6261,6.8431,-2.6261,0,170,880,2504
65,1,1.5532,0.6602,-0.0518,0,159,749,2538
65,2,-0.8629,2.5636,-0.7766,0,174,767,2538
65,3,-0.7594,2.847,-0.9492,0,225,773,2538
65,4,-0.2761,4.2769,-1.3807,0,169,839,2538
65,5,2.6261,6.8431,-2.6261,0,173,877,2538
66,1,1.5532,0.6622,0,0,155,748,2572
66,2,-0.8543,2.82,-0.9492,0,251,746,2572
66,3,-0.7248,2.6473,-1.9674,0,178,832,2572
66,4,-0.2761,4.2769,-1.3807,0,157,851,2572
66,5,2.6261,6.8431,-2.6261,0,176,873,2572
67,1,0.1035,0.2569,-0.2531,0,243,684,2604
67,2,1.5849,0.8136,0.0547,0,190,709,2604
67,3,-1.07,2.6804,-0.3567,0,221,739,2604
67,4,-0.8543,2.8502,-0.8543,0,251,747,2604
67,5,-0.7248,2.6473,-1.9674,0,171,840,2604
67,6,-0.2761,4.2769,-1.3807,0,157,851,2604
67,7,2.8649,6.6488,-2.8649,0,176,874,2604
68,1,0.1035,0.2569,-0.2531,0,235,693,2638
68,2,1.5849,0.8136,0.0547,0,184,716,2638
68,3,-0.8543,2.82,-0.9492,0,241,757,2638
68,4,-0.6213,2.5941,-2.071,0,163,845,2638
68,5,-0.4142,4.308,-1.2425,0,166,842,2638
68,6,2.6261,6.8431,-2.6261,0,183,867,2638
69,1,0.1035,0.2569,-0.2531,0,238,689,2671
69,2,1.5015,0.7707,0.0518,0,182,730,2671
69,3,-0.7594,2.847,-0.9492,0,234,763,2671
69,4,-0.7248,2.6473,-1.9674,0,164,845,2671
69,5,-0.2761,4.2769,-1.3807,0,181,826,2671
69,6,2.6261,6.8431,-2.6261,0,181,869,2671
70,1,1.5532,0.6602,-0.0518,0,175,731,2704
70,2,-0.8543,2.82,-0.9492,0,237,761,2704
70,3,-0.7248,2.6473,-1.9674,0,158,852,2704
70,4,-0.2761,4.2769,-1.3807,0,165,843,2704
70,5,2.6261,6.8431,-2.6261,0,181,869,2704
71,1,1.5015,0.7707,0.0518,0,206,700,2738
71,2,-0.8543,2.8502,-0.8543,0,247,751,2738
71,3,-0.7248,2.6473,-1.9674,0,172,837,2738
71,4,-0.2761,4.2769,-1.3807,0,163,844,2738
71,5,2.6261,6.8431,-2.6261,0,176,874,2738
72,1,0.1035,0.2678,-0.2416,0,245,683,2771
72,2,1.4497,0.8517,0.1553,0,189,721,2771
72,3,-0.7594,2.847,-0.9492,0,246,752,2771
72,4,-0.8284,2.6915,-1.8639,0,163,847,2771
72,5,-0.2761,4.2769,-1.3807,0,172,836,2771
72,6,2.6261,6.8431,-2.6261,0,172,878,2771
72,7,2.5024,1.0134,0.3337,-0.4914,208,709,2771
73,1,1.5015,0.7725,0,0,167,743,2804
73,2,-0.9808,2.6848,-0.535,0,230,730,2804
73,3,-0.8543,2.82,-0.9492,0,256,741,2804
73,4,-0.7248,2.6473,-1.9674,0,172,836,2804
73,5,-0.4142,4.308,-1.2425,0,165,843,2804
73,6,2.6261,6.8431,-2.6261,0,166,882,2804
74,1,1.5015,0.7655,0.1035,0,188,714,2838
74,2,-0.7594,2.847,-0.9492,0,243,753,2838
74,3,-0.7248,2.6473,-1.9674,0,163,844,2838
74,4,-0.4142,4.308,-1.2425,0,168,840,2838
74,5,2.6261,6.8431,-2.6261,0,171,879,2838
74,6,-2.5859,0.8283,0.1668,-0.4914,189,711,2838
74,7,1.5015,2.0747,-0.9176,-0.4914,189,711,2838
75,1,0.1035,0.2569,-0.2531,0,246,681,2871
75,2,1.5532,0.6622,0,0,182,723,2871
75,3,-0.7594,2.847,-0.9492,0,248,749,2871
75,4,-0.6213,2.508,-2.1745,0,157,842,2871
75,5,-0.4142,4.308,-1.2425,0,166,841,2871
75,6,2.6261,6.8431,-2.6261,0,172,878,2871
75,7,-2.6693,0.4053,0.3337,-0.4914,212,706,2871
76,1,1.5015,0.7707,0.0518,0,190,719,2905
76,2,-0.7594,2.847,-0.9492,0,255,743,2905
76,3,-0.6213,2.508,-2.1745,0,164,836,2905
76,4,-0.2761,4.2769,-1.3807,0,178,830,2905
76,5,2.6261,6.8431,-2.6261,0,174,876,2905
77,1,0.1035,0.2678,-0.2416,0,238,691,2938
77,2,1.5532,0.6622,0,0,166,740,2938
77,3,-0.7594,2.847,-0.9492,0,260,738,2938
77,4,-0.7248,2.6473,-1.9674,0,178,826,2938
77,5,-0.2761,4.2769,-1.3807,0,180,828,2938
77,6,2.8649,6.6488,-2.8649,0,175,875,2938
78,1,1.5532,0.6602,0.0518,0,179,727,2971
78,2,-0.7594,2.847,-0.9492,0,244,753,2971
78,3,-0.7248,2.6473,-1.9674,0,168,840,2971
78,4,-0.2761,4.2769,-1.3807,0,172,836,2971
78,5,2.6261,6.8431,-2.6261,0,175,875,2971
79,1,0.1035,0.2678,-0.2416,0,243,684,3004
79,2,1.4497,0.8595,0.1035,0,190,723,3004
79,3,-0.7594,2.847,-0.9492,0,254,744,3004
79,4,-0.6213,2.5941,-2.071,0,179,826,3004
79,5,-0.4142,4.308,-1.2425,0,173,834,3004
79,6,2.6261,6.8431,-2.6261,0,174,877,3004
80,1,0.1035,0.2678,-0.2416,0,249,679,3038
80,2,1.4497,0.8517,0.1553,0,192,714,3038
80,3,-0.8543,2.82,-0.9492,0,252,747,3038
80,4,-0.7248,2.6473,-1.9674,0,174,828,3038
80,5,-0.2761,4.2769,-1.3807,0,171,836,3038
80,6,2.6261,6.8431,-2.6261,0,175,875,3038
81,1,1.5015,0.7707,0.0518,0,177,726,3071
81,2,-0.7594,2.847,-0.9492,0,267,731,3071
81,3,-0.7248,2.6473,-1.9674,0,184,821,3071
81,4,-0.2761,4.2769,-1.3807,0,179,829,3071
81,5,2.6261,6.8431,-2.6261,0,174,876,3071
82,1,1.5532,0.6622,0,0,176,731,3104
82,2,-1.07,2.667,-0.4458,0,223,733,3104
82,3,-0.7594,2.847,-0.9492,0,253,744,3104
82,4,-0.7248,2.6473,-1.9674,0,173,832,3104
82,5,-0.2761,4.2769,-1.3807,0,177,832,3104
82,6,2.6261,6.8431,-2.6261,0,173,877,3104
83,1,1.5015,0.7655,0.1035,0,206,707,3138
83,2,-0.7594,2.847,-0.9492,0,242,756,3138
83,3,-0.5177,2.4386,-2.2781,0,152,850,3138
83,4,-0.2761,4.2769,-1.3807,0,179,828,3138
83,5,2.6261,6.8431,-2.6261,0,173,877,3138
84,1,0.1035,0.2569,-0.2531,0,245,683,3171
84,2,1.4497,0.8595,0.1035,0,183,728,3171
84,3,-0.7594,2.847,-0.9492,0,251,747,3171
84,4,0.1007,1.0148,3.1209,0,211,788,3171
84,5,-0.4142,4.308,-1.2425,0,174,834,3171
84,6,2.8649,6.6488,-2.8649,0,175,875,3171
85,1,1.5015,0.7707,0.0518,0,184,726,3205
85,2,2.1745,1.3611,0.5638,0,179,764,3205
85,3,-0.8543,2.82,-0.9492,0,217,778,3205
85,4,-0.2761,4.2769,-1.3807,0,175,834,3205
85,5,2.6261,6.8431,-2.6261,0,171,879,3205
86,1,1.5015,0.7707,0.0518,0,168,741,3238
86,2,-1.07,2.6804,-0.3567,0,203,753,3238
86,3,-2.4075,0.6022,-1.5158,0,203,753,3238
86,4,-0.8543,2.82,-0.9492,0,234,764,3238
86,5,-0.7248,2.6473,-1.9674,0,152,856,3238
86,6,-0.2761,4.2769,-1.3807,0,170,838,3238
86,7,2.6261,6.8431,-2.6261,0,171,878,3238
87,1,0.1035,0.2569,-0.2531,0,239,691,3271
87,2,1.5532,0.6602,-0.0518,0,183,729,3271
87,3,1.9329,1.5856,0.8054,0,167,771,3271
87,4,-0.8543,2.82,-0.9492,0,208,790,3271
87,5,-0.2761,4.2769,-1.3807,0,174,834,3271
87,6,2.6261,6.8431,-2.6261,0,173,877,3271
88,1,0.1035,0.2569,-0.2531,0,244,684,3304
88,2,1.5015,0.7655,0.1035,0,189,722,3304
88,3,0.699,1.566,1.8639,0,150,771,3304
88,4,1.4756,1.351,-1.5532,0,150,771,3304
88,5,-0.7594,2.847,-0.9492,0,210,788,3304
88,6,-0.2761,4.2769,-1.3807,0,172,835,3304
88,7,2.6261,6.8431,-2.6261,0,174,876,3304
89,1,0.1035,0.2569,-0.2531,0,244,684,3338
89,2,1.5015,0.7655,0.1035,0,187,723,3338
89,3,-1.0873,0.9457,0.8802,0,187,723,3338
89,4,-0.7594,2.847,-0.9492,0,211,786,3338
89,5,-0.2761,4.2769,-1.3807,0,157,851,3338
89,6,2.6261,6.8431,-2.6261,0,174,876,3338
89,7,2.1745,1.4171,0.4027,-0.9828,285,616,3338
90,1,1.4497,0.8517,0.1553,0,196,710,3371
90,2,-1.07,2.667,-0.4458,0,217,741,3371
90,3,-0.8543,2.82,-0.9492,0,247,751,3371
90,4,-0.5177,2.4386,-2.2781,0,154,848,3371
90,5,-0.2761,4.2769,-1.3807,0,167,841,3371
90,6,-0.4142,4.308,-1.2425,0,167,841,3371
90,7,2.8649,6.6488,-2.8649,0,174,876,3371
90,8,2.2522,1.1351,0.233,-0.9828,236,606,3371
91,1,1.5015,0.7707,0.0518,0,180,732,3405
91,2,-1.07,2.667,-0.4458,0,215,743,3405
91,3,-2.4075,0.6022,-1.5158,0,215,743,3405
91,4,-0.8543,2.8502,-0.8543,0,245,753,3405
91,5,-0.6213,2.508,-2.1745,0,163,840,3405
91,6,-0.2761,4.2769,-1.3807,0,161,847,3405
91,7,2.6261,6.8431,-2.6261,0,175,875,3405
92,1,0.1035,0.2569,-0.2531,0,265,664,3438
92,2,1.5015,0.7655,0.1035,0,203,707,3438
92,3,-0.8543,2.82,-0.9492,0,231,767,3438
92,4,-0.6213,2.508,-2.1745,0,151,855,3438
92,5,-0.4142,4.308,-1.2425,0,165,843,3438
92,6,2.6261,6.8431,-2.6261,0,177,874,3438
93,1,1.5015,0.7655,0.1035,0,163,741,3471
93,2,-0.8543,2.82,-0.9492,0,236,762,3471
93,3,-0.7248,2.6473,-1.9674,0,163,845,3471
93,4,-0.2761,4.2769,-1.3807,0,164,844,3471
93,5,2.6261,6.8431,-2.6261,0,176,875,3471
94,1,1.5015,0.7707,0.0518,0,178,732,3506
94,2,-1.07,2.6804,-0.3567,0,210,748,3506
94,3,-2.4967,0.4332,-1.4267,0,210,748,3506
94,4,-0.8543,2.82,-0.9492,0,239,760,3506
94,5,-0.6213,2.508,-2.1745,0,151,855,3506
94,6,-0.2761,4.2769,-1.3807,0,172,837,3506
94,7,2.8649,6.6488,-2.8649,0,175,875,3506
95,1,1.5532,0.6622,0,0,185,725,3538
95,2,1.5532,0.6602,-0.0518,0,185,725,3538
95,3,0.466,1.4563,2.0192,0,151,770,3538
95,4,1.4756,1.1483,-1.7086,0,151,770,3538
95,5,-1.07,2.6804,-0.3567,0,210,750,3538
95,6,-2.4967,0.4332,-1.4267,0,210,750,3538
95,7,-0.7594,2.847,-0.9492,0,233,764,3538
95,8,-0.7248,2.6473,-1.9674,0,155,853,3538
95,9,-0.2761,4.2769,-1.3807,0,165,843,3538
95,10,2.6261,6.8431,-2.6261,0,177,873,3538
96,1,1.5015,0.7707,0.0518,0,170,735,3571
96,2,-1.1592,2.643,-0.3567,0,194,763,3571
96,3,-2.4967,0.4332,-1.4267,0,194,763,3571
96,4,-0.7594,2.847,-0.9492,0,223,774,3571
96,5,-0.2761,4.2769,-1.3807,0,176,832,3571
96,6,2.6261,6.8431,-2.6261,0,178,871,3571
97,1,1.4497,0.8517,0.1553,0,197,708,3604
97,2,-1.0873,0.8947,0.9319,0,197,708,3604
97,3,-0.7594,2.847,-0.9492,0,234,764,3604
97,4,-0.2761,4.2769,-1.3807,0,175,834,3604
97,5,2.6261,6.8431,-2.6261,0,180,870,3604
98,1,0.1035,0.2678,-0.2416,0,245,683,3638
98,2,1.5532,0.6602,-0.0518,0,179,731,3638
98,3,-1.07,2.667,-0.4458,0,195,761,3638
98,4,-0.8543,2.82,-0.9492,0,232,766,3638
